Resource,File Path,Historical Status,Current Status,Resolution Type,Action Required,Notes
AWS::IAM::Policy.dataallcdktemplatecdkpipelinePipelineBuildSynthCdkBuildProjectPolicyDocument0F8F4003,/cdk.out/dataall-cdk-template-cicd-stack.template.json:3106-3140,FAILED,RESOLVED,Code Fix,None,CDK pipeline build policies properly scoped
AWS::IAM::Policy.dataallcdktemplatecdkpipelinePipelinedataallstagingdbmigrationstageMigrateDBPolicyDocumentFD518241,/cdk.out/dataall-cdk-template-cicd-stack.template.json:3605-3639,FAILED,RESOLVED,Code Fix,None,Database migration permissions constrained
AWS::IAM::Policy.dataallcdktemplatecdkpipelineAssetsFileRoleDefaultPolicyADA3EF5E,/cdk.out/dataall-cdk-template-cicd-stack.template.json:4630-4752,FAILED,STILL FAILING,Suppression,Add to baseline,CDK auto-generated role for CI/CD operations
AWS::IAM::ManagedPolicy.PivotRolePolicy0,/cdk.out/asset.7110c94471c92376cd9f1a7f44ef8cc83578c3172c7a339c67c518581d124669/pivotRole.yaml:49-218,FAILED,STILL FAILING,Suppression,Add to baseline,Legacy YAML template - CDK implementation is compliant
AWS::IAM::ManagedPolicy.PivotRolePolicy1,/cdk.out/asset.7110c94471c92376cd9f1a7f44ef8cc83578c3172c7a339c67c518581d124669/pivotRole.yaml:220-338,FAILED,RESOLVED,Code Fix,None,RAM permissions properly scoped in CDK implementation
AWS::IAM::Policy.DBMigrationCBProjectstagingPolicyDocument690B6300,/cdk.out/assembly-dataall-cdk-template-cicd-stack-dataall-staging-backend-stage/dataallcdktemplatecicdstackdataallstagingbackendstagebackendstackDbMigration96E13135.nested.template.json:554-585,FAILED,RESOLVED,Code Fix,None,Database migration CodeBuild permissions scoped
AWS::IAM::Role.dataallstagingesproxyrole91A7EBFB,/cdk.out/assembly-dataall-cdk-template-cicd-stack-dataall-staging-backend-stage/dataallcdktemplatecicdstackdataallstagingbackendstagebackendstackLambdas760AD7F8.nested.template.json:310-442,FAILED,RESOLVED,Code Fix,None,Elasticsearch proxy role permissions constrained
AWS::IAM::Role.dataallstaginggraphqlrole479A99FC,/cdk.out/assembly-dataall-cdk-template-cicd-stack-dataall-staging-backend-stage/dataallcdktemplatecicdstackdataallstagingbackendstagebackendstackLambdas760AD7F8.nested.template.json:879-1011,FAILED,RESOLVED,Code Fix,None,GraphQL Lambda role permissions scoped
AWS::IAM::Role.dataallstagingawsworkerroleFDFEE189,/cdk.out/assembly-dataall-cdk-template-cicd-stack-dataall-staging-backend-stage/dataallcdktemplatecicdstackdataallstagingbackendstagebackendstackLambdas760AD7F8.nested.template.json:1467-1599,FAILED,RESOLVED,Code Fix,None,AWS worker role permissions constrained
AWS::IAM::Policy.LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8aServiceRoleDefaultPolicyADDA7DEB,/cdk.out/assembly-dataall-cdk-template-cicd-stack-dataall-staging-backend-stage/dataallcdktemplatecicdstackdataallstagingbackendstagebackendstackLambdas760AD7F8.nested.template.json:2925-2951,FAILED,RESOLVED,Code Fix,None,CloudWatch log retention permissions scoped
AWS::IAM::Policy.S3DeploymentRolestagingDefaultPolicy4672E484,/cdk.out/assembly-dataall-cdk-template-cicd-stack-dataall-staging-cloudfront-stage/dataallcdktemplatecicdstackdataallstagingcloudfrontstagecloudfrontstackCloudFront17AF3D7E.nested.template.json:1128-1206,FAILED,RESOLVED,Code Fix,None,S3 deployment role permissions constrained
AWS::IAM::ManagedPolicy.CDKCustomExecutionPolicy0,/cdk.out/asset.cb0dd829c73ec641bd1ecfb99b2a65477b78f96f8a638bf0a36dead7c4dc022a/cdkExecPolicy.yaml:12-269,FAILED,RESOLVED,Code Fix,None,CDK execution policy properly scoped
AWS::IAM::ManagedPolicy.CDKCustomExecutionPolicy0,/deploy/cdk_exec_policy/cdkExecPolicy.yaml:12-269,FAILED,RESOLVED,Code Fix,None,CDK execution policy updated
AWS::IAM::ManagedPolicy.PivotRolePolicy0,/deploy/pivot_role/pivotRole.yaml:49-218,FAILED,STILL FAILING,Suppression,Add to baseline,Legacy YAML template - CDK version passes security checks
AWS::IAM::ManagedPolicy.PivotRolePolicy1,/deploy/pivot_role/pivotRole.yaml:220-338,FAILED,STILL FAILING,Suppression,Add to baseline,Legacy YAML template - CDK version passes security checks
AWS::IAM::Policy.dataallchkovfxcdkpipelineAssetsFileRoleDefaultPolicy45DF52E9,/cdk.out/dataall-chkovfx-cicd-stack.template.json:3904-4026,FAILED,STILL FAILING,Suppression,Add to baseline,CDK auto-generated AssetsFileRole for CI/CD
AWS::IAM::ManagedPolicy.PivotRolePolicy0,/tests_new/integration_tests/modules/s3_datasets/sample_data/folder1/pivotRole.yaml:49-220,FAILED,STILL FAILING,Suppression,Add to baseline,Test artifact - not deployed infrastructure
AWS::IAM::ManagedPolicy.PivotRolePolicy1,/tests_new/integration_tests/modules/s3_datasets/sample_data/folder1/pivotRole.yaml:222-341,FAILED,STILL FAILING,Suppression,Add to baseline,Test artifact - not deployed infrastructure
AWS::IAM::ManagedPolicy.PivotRolePolicy0,/cdk.out/asset.05d71d8b69cd4483d3c9db9120b556b718c72f349debbb79d461c74c4964b350/pivotRole.yaml:49-216,FAILED,STILL FAILING,Suppression,Add to baseline,CDK asset artifact - actual CDK implementation passes